gender,height
Male,73.84701702
Male,68.78190405
Male,74.11010539
Male,55.65454
Male,69.88179586
Male,67.25301569
Male,68.78508125
Male,68.34851551
Male,67.01894966
Male,63.45649398
Male,71.19538228
Male,71.64080512
Male,64.76632913
Male,69.2830701
Male,69.24373223
Male,67.6456197
Male,72.41831663
Male,63.97432572
Male,69.6400599
Male,67.93600485
Male,67.91505019
Male,69.43943987
Male,66.14913196
Male,75.20597361
Male,67.89319634
Male,68.1440328
Male,69.08963143
Male,72.80084352
Male,67.42124228
Male,68.49641536
Male,68.61811055
Male,74.03380762
Male,71.52821604
Male,69.1801611
Male,69.57720237
Male,70.40092889
Male,69.07617117
Male,67.19352328
Male,65.80731565
Male,64.30418789
Male,67.97433623
Male,72.18942596
Male,65.27034552
Male,66.09017738
Male,67.51032152
Male,70.10478626
Male,68.25183644
Male,72.17270912
Male,69.17985762
Male,72.87036015
Male,64.78258298
Male,70.18354989
Male,68.49145025
Male,67.33083088
Male,66.99094408
Male,66.4995499
Male,68.35305665
Male,70.77445907
Male,71.21592367
Male,70.01336535
Male,71.40318222
Male,69.55200509
Male,73.81853456
Male,66.99688275
Male,71.41846589
Male,65.27930021
Male,68.27419147
Male,72.76536995
Male,68.0993798
Male,68.89670607
Male,69.28950996
Male,70.52322452
Male,69.66372523
Male,67.59526881
Male,72.50812038
Male,71.2529856
Male,71.80918689
Male,72.24516548
Male,66.51262766
Male,66.029034
Male,67.57715394
Male,68.2465686
Male,73.826127
Male,69.80246436
Male,65.95957778
Male,71.07901758
Male,66.59619654
Male,68.95153509
Male,68.24446179
Male,72.31682512
Male,71.81542045
Male,65.23704952
Male,70.64053009
Male,64.7319256
Male,67.10355118
Male,65.11748489
Male,71.70123402
Male,66.83287821
Male,66.47127526
Male,69.41152622
Male,70.05217747
Male,66.74360465
Male,66.27432912
Male,68.32844799
Male,70.0758882
Male,68.73298815
Male,67.55605126
Male,66.25363253
Male,69.18220268
Male,67.60910494
Male,69.29273802
Male,68.19068401
Male,71.6070858
Male,69.19685751
Male,67.26196098
Male,73.6851934
Male,69.53721501
Male,68.31155984
Male,67.73896347
Male,71.7057626
Male,63.6322646
Male,68.72119846
Male,66.94934165
Male,62.70698974
Male,72.25840892
Male,70.90865306
Male,67.6098436
Male,70.80155896
Male,69.30476905
Male,66.24289834
Male,67.49219298
Male,65.80624829
Male,71.44370566
Male,68.46440582
Male,63.9879246
Male,71.00189769
Male,68.13972419
Male,68.39540025
Male,68.09621975
Male,68.14059036
Male,68.86009031
Male,66.14885254
Male,66.20603205
Male,67.43212021
Male,69.47110603
Male,70.51585969
Male,71.33837604
Male,71.00194477
Male,66.20234771
Male,72.54330705
Male,67.47935176
Male,65.35041056
Male,70.84406242
Male,69.93847526
Male,64.73981548
Male,80.23432
